place,magnitude,longitude,latitude,depth_km,time,year,month,day,energy_index,depth_score,frequency_index,mag_variability,composite_score
"31 km W of Kunduz, Afghanistan",4.7,68.5074,36.6873,18.499,2023-10-27 17:12:04.864,2023,10,27,0.2790697674418601,0.17923649289916593,0.07469135802469135,0.4665716382178187,0.23114212706828813
"154 km E of Aqqan, China",4.7,83.6881,36.519,10.0,2023-10-27 17:10:56.263,2023,10,27,0.2790697674418601,0.3247886905645809,0.01111111111111111,0.469143087417942,0.2520208321362653
"164 km E of Aqqan, China",4.4,83.7932,36.6518,10.0,2023-10-27 04:38:05.879,2023,10,27,0.20930232558139528,0.3247886905645809,0.01111111111111111,0.4667506688211681,0.22724336469558656
"59 km N of Sarupathar, India",4.3,96.8669,26.7385,52.637,2023-10-26 18:29:02.059,2023,10,26,0.18604651162790664,0.059337035412899426,0.03209876543209877,0.46507404238869154,0.1577363356393206
"35 km SE of Khorugh, Tajikistan",4.2,71.8833,37.3084,136.201,2023-10-25 19:39:10.749,2023,10,25,0.16279069767441845,0.017625764097786455,0.5259259259259259,0.4575307976539172,0.2614942863400621
"151 km E of Aqqan, China",4.5,83.6546,36.6111,10.0,2023-10-25 18:35:39.226,2023,10,25,0.23255813953488325,0.3247886905645809,0.01111111111111111,0.45541684608491767,0.23368282616886976
"161 km E of Aqqan, China",4.4,83.7544,36.6532,10.0,2023-10-25 15:52:17.423,2023,10,25,0.20930232558139528,0.3247886905645809,0.01111111111111111,0.4546732629176163,0.2254317538100538
western Xizang,4.6,87.4234,33.5193,12.287,2023-10-24 18:02:46.412,2023,10,24,0.2558139534883721,0.2673105769107597,0.019753086419753086,0.4550865146734038,0.22956377675456896
"89 km SE of Hakha, Myanmar",4.2,94.1496,22.0121,40.573,2023-10-24 04:55:24.160,2023,10,24,0.16279069767441845,0.07921040212870929,0.06049382716049383,0.4575764461986291,0.1605392684381416
"269 km NNE of Saga, China",4.4,86.6091,31.4395,10.0,2023-10-23 22:47:24.464,2023,10,23,0.20930232558139528,0.3247886905645809,0.006790123456790123,0.4385575127955409,0.22193414437816222
"271 km NNW of Rikaze, China",4.7,88.1062,31.607,10.0,2023-10-23 08:43:37.339,2023,10,23,0.2790697674418601,0.3247886905645809,0.0037037037037037034,0.4414342021796704,0.24601264749867272
"246 km NNW of Nagqu, China",4.9,91.1286,33.5562,10.0,2023-10-23 06:10:38.528,2023,10,23,0.3255813953488369,0.3247886905645809,0.014197530864197531,0.45047353356648107,0.2662710737642597
"28 km NE of Bharatpur, Nepal",4.0,84.646,27.8519,26.661,2023-10-22 11:46:45.520,2023,10,22,0.11627906976744162,0.12364960798955753,0.10246913580246912,0.45997117347597,0.16622303638800673
"36 km NE of Bharatpur, Nepal",5.2,84.7252,27.8879,25.706,2023-10-22 01:54:21.100,2023,10,22,0.3953488372093019,0.1283983941393077,0.11790123456790123,0.48110038231427626,0.2721120575471993
"253 km N of Bamboo Flat, India",4.4,92.8694,13.9893,15.998,2023-10-20 00:20:08.653,2023,10,20,0.20930232558139528,0.2069543396903662,0.053703703703703705,0.48110038231427626,0.21058538214914727
"60 km NE of Dipayal, Nepal",4.5,81.357,29.6681,10.0,2023-10-18 16:18:48.676,2023,10,18,0.23255813953488325,0.3247886905645809,0.03827160493827161,0.47883751475653114,0.24398604992640194
"280 km SSE of Port Blair, India",4.4,93.9888,9.4496,10.0,2023-10-18 13:25:10.787,2023,10,18,0.20930232558139528,0.3247886905645809,0.13395061728395063,0.47660772814487257,0.2594318001373521
"7 km SSE of Kolkhozobod, Tajikistan",4.1,68.6913,37.5213,36.974,2023-10-18 01:51:38.458,2023,10,18,0.13953488372092981,0.08758453982347007,0.03888888888888889,0.4812740083556262,0.15264666773375912
"289 km SSE of Port Blair, India",4.5,94.0097,9.3696,10.254,2023-10-16 23:13:31.567,2023,10,16,0.23255813953488325,0.3172518369017816,0.11851851851851851,0.4484939924571444,0.2576120365608558
"36 km NE of Dārchulā, Nepal",4.2,80.7774,30.0924,10.0,2023-10-16 03:41:40.294,2023,10,16,0.16279069767441845,0.3247886905645809,0.037037037037037035,0.4509832711943761,0.21508066676560733
"19 km NNW of Taloqan, Afghanistan",3.9,69.4221,36.884,88.464,2023-10-15 05:10:45.290,2023,10,15,0.09302325581395321,0.031911594706846506,0.25925925925925924,0.4588800724528898,0.17418286389434354
"140 km N of Joshīmath, India",4.3,79.3974,31.8115,10.0,2023-10-14 21:53:08.277,2023,10,14,0.18604651162790664,0.3247886905645809,0.007407407407407408,0.4581968149008811,0.21689482579789654
"42 km S of Murghob, Tajikistan",4.1,73.9645,37.7912,62.596,2023-10-14 07:13:08.554,2023,10,14,0.13953488372092981,0.04861252648851922,0.022839506172839506,0.4547835001026325,0.13491774248306
"58 km SSE of Jurm, Afghanistan",4.4,70.9687,36.3472,117.334,2023-10-13 13:19:53.447,2023,10,13,0.20930232558139528,0.021894428279730066,0.9030864197530863,0.45246287907757576,0.37237045782332884
"41 km S of Murghob, Tajikistan",4.6,73.9128,37.7962,10.0,2023-10-13 10:15:37.265,2023,10,13,0.2558139534883721,0.3247886905645809,0.02469135802469136,0.45127958086576214,0.2445968329981126
"9 km NNE of Pul-e Khumrī, Afghanistan",4.7,68.7405,36.0303,10.0,2023-10-13 01:09:26.768,2023,10,13,0.2790697674418601,0.3247886905645809,0.09691358024691357,0.44894084809019746,0.27044111352105427
"10 km SE of Baghlān, Afghanistan",4.9,68.7756,36.0555,10.0,2023-10-13 00:03:14.558,2023,10,13,0.3255813953488369,0.3247886905645809,0.10432098765432098,0.3795626497779145,0.27816530539350554
"43 km NE of Dipayal, Nepal",4.4,81.2129,29.5722,10.0,2023-10-12 20:06:44.075,2023,10,12,0.20930232558139528,0.3247886905645809,0.03888888888888889,0.3795626497779145,0.22110960628354298
"57 km S of Murghob, Tajikistan",4.4,74.0165,37.6551,10.0,2023-10-12 08:54:38.335,2023,10,12,0.20930232558139528,0.3247886905645809,0.02469135802469136,0.3795626497779145,0.2175602235674936
"43 km NNE of Dipayal, Nepal",4.8,81.1801,29.5869,10.0,2023-10-11 18:37:21.967,2023,10,11,0.3023255813953487,0.3247886905645809,0.03950617283950617,0.3867149646638793,0.2548949140389757
"56 km S of Murghob, Tajikistan",4.2,74.0037,37.6614,10.0,2023-10-11 04:23:07.392,2023,10,11,0.16279069767441845,0.3247886905645809,0.024074074074074074,0.38952410821732775,0.2026210515783093
"20 km ESE of Farkhār, Afghanistan",4.1,70.0672,36.4918,226.249,2023-10-10 07:46:27.543,2023,10,10,0.13953488372092981,0.007016853827099172,0.8030864197530864,0.38952410821732775,0.309791643929971
"197 km NE of Saga, China",4.4,86.3755,30.798,10.0,2023-10-08 19:46:32.191,2023,10,8,0.20930232558139528,0.3247886905645809,0.01111111111111111,0.3774879183528858,0.21385395212534422
"131 km N of Joshīmath, India",4.5,79.3465,31.7268,10.0,2023-10-08 13:37:04.576,2023,10,8,0.23255813953488325,0.3247886905645809,0.006790123456790123,0.37177888745224785,0.22005688546038904
"44 km WNW of Bamboo Flat, India",4.4,92.3616,11.8926,22.675,2023-10-08 08:10:48.987,2023,10,8,0.20930232558139528,0.146007733632955,0.02160493827160494,0.37177888745224785,0.1709258150474655
